id,timestamp,user_screen_name,user_name,retweets,favorites,State,text,polarity
1.54E+17,2/1/2012 18:01,203941556,Biskut Tambun,0,0,Johor,Ringgit malaysia lima belas sahaja. Tudak termasuk gst yer. RT @NuraizahYong: 48 hours je? Brapa hengget?! RT @BiskutTambun,Negative
1.57E+17,10/1/2012 14:27,100515777,asyraf.,3,1,Johor,GST  cukai yg menguntungkan k'jaan & merugikan rakyat. Kenapa? Segala benda yg ada di Malaysia dikenakan cukai. Bila? Jika BN menang PRU13.,Negative
1.64E+17,31/1/2012 2:57,145955852,Yuri-ka!,0,0,Johor,@DarthYoong I'm in the GST+8 one. I live in Malaysia. ^^,Neutral
1.68E+17,12/2/2012 4:27,46892462,Addy Azmar,0,0,Johor,@ub3y beza 8 jam..dop tau pulop gst brape..haha...tapi sini lambat 8 jam from Malaysia,Neutral
1.74E+17,26/2/2012 22:16,438370525,Pemikir Muda SAMM,1,0,Johor,Skrg harga barang naik selepas PRU 13 UMNO/BN akn kenakan GST.Apa jadi kpd pekerja Malaysia? Sdri. Saras di pentas #AsalkanBukanUMNO Johor,Negative
1.74E+17,28/2/2012 19:55,198386052,MHR,0,0,Johor,GST telah dilaksanakan di malaysia....terima kasih kera jaan b-end...,Negative
1.80E+17,15/3/2012 15:18,311967233,Jojo,0,0,Johor,LOL means Laugh Out Loud. Tapi tu org luar punya. Malaysia punya  GST means Gelak Sampai Terkucil.,Negative
1.85E+17,29/3/2012 20:03,81518607,Faez Badar,0,0,Johor,@fuad_fadz mksd aku  aku suruh sedare aku belikan..pastu dia masuk Malaysia..dia kene GST jugak?,Neutral
1.89E+17,9/4/2012 17:57,252469237,DarabDua,0,0,Johor,GST juga dkat malaysia? makan kayu abah gua ini mcm. heh,Negative
1.94E+17,24/4/2012 1:57,112607796,Afiq Syauqi,0,0,Johor,@HafizRayyan yeah itu sy stju bang  even mslh rasuah dlm malaysia lgy  law gst tu dlksnakan lg twok la jwbnya,Negative
1.95E+17,25/4/2012 17:06,376597135,Najiha Hatim,0,0,Melaka,Macam mana boleh kata Malaysia antara negara paling tinggi cukai sedangkan kita tak laksanakan cukai GST lagi?,Neutral
5.14E+17,9/5/2012 13:03,207675533,Mohdar Ismail,0,0,P. Pinang,Sekarang Rakyat Swak yg termiskin dalam Malaysia. Selepas GST apa nak jadi? Pupus?,Negative
2.00E+17,9/5/2012 13:03,48024229,Chin Ann,0,0,Melaka,what? laos and Cambodia also have GST !?!? Y Malaysia no GST yet ???,Positive
2.04E+17,19/5/2012 1:10,51010771,Ahmad Syazwan,0,0,Johor,@RedzDerCzar apa pendapat hang tentang GST? bg aku Malaysia tak perlu laksanakan,Negative
2.07E+17,29/5/2012 20:37,156545852,YOU LIKE~~~~,0,0,Johor,@xena_5566 @choochoomp wut GST??? Malaysia time is 11pm.... Lololol #GDMONSTER,Negative
2.08E+17,1/6/2012 14:51,48193998,Mukhriz Mahathir,138,8,Melaka,Malaysia vs Finland : cukai pendapatan 0-26% vs 6.5-55.4%; GST & VAT 0% vs 23-25%; jumlah siswa IPT 1.1j vs 170ribu shj! Ukur baju dibadan,Negative
2.08E+17,1/6/2012 15:02,97488126,Open 24/7,0,0,Johor,RT @MukhrizMahathir: Malaysia vs Finland: Cukai pendapatan 0-26% vs 6.5-55.4%; GST & VAT 0% vs 23-25%; jumlah siswa IPT 1.1j vs 170ribu shj!,Neutral
2.08E+17,1/6/2012 15:21,428593111,hafidz aziz,0,0,Johor,"Malaysia vs Finland:cukai pendapatan 0-26% vs 6.5-55.4%;GST & VAT 0% vs 23-25%;jumlah siswa IPT 1.1j vs 170ribu shj!"""" @rafiziramli @NeoR3RS",Neutral
2.12E+17,12/6/2012 11:25,43057701,Jack Joe,0,0,Johor,Negara lain tax mereka tinggi  GST dh impelement pun so tax mereka lagi tinggi dr malaysia,Positive
2.14E+17,16/6/2012 14:54,11112262,Simon Liu,0,0,Johor,Malaysia GST Seminar,Neutral
